id,uid,zone,use_type,installed,material,joint,lining,diameter,d_cat,length_m
69,8363ff7f-f6f5-11ec-9b8c-54bf6483bcd3,52527,dist,1999,Ductile Iron,RG,CL,18,M,221.9443463
70,836474a5-f6f5-11ec-ba77-54bf6483bcd3,62614,dist,1979,Cast Iron,RG,CL,12,S,1227.449467
71,8364e9d2-f6f5-11ec-b948-54bf6483bcd3,62610,dist,1977,Ductile Iron,,CL,6,S,845.2756804
72,83658616-f6f5-11ec-9db3-54bf6483bcd3,52513,dist,1956,Cast Iron,,,10,S,234.2775156
73,8365d433-f6f5-11ec-bdde-54bf6483bcd3,52502,dist,1960,Steel,WJ,CL,21,M,30.59128199
74,8366707d-f6f5-11ec-b749-54bf6483bcd3,74407,dist,1967,Ductile Iron,,CL,9,S,469.3413885
75,8366e5d1-f6f5-11ec-9d4e-54bf6483bcd3,63910,dist,1962,Steel,,,16,M,102.6021228
76,83675aec-f6f5-11ec-b0d2-54bf6483bcd3,52524,dist,1998,Steel,,,24,M,77.75239607
77,8367f723-f6f5-11ec-9aa1-54bf6483bcd3,52533,dist,1948,Ductile Iron,,CL,11,S,411.9461726
78,83686c4f-f6f5-11ec-88af-54bf6483bcd3,52502,dist,1972,Ductile Iron,,CL,12,S,73.54451414
79,8368e18a-f6f5-11ec-be69-54bf6483bcd3,74407,dist,1964,Ductile Iron,,CL,6,S,531.6960744
80,8369a4ce-f6f5-11ec-8098-54bf6483bcd3,62614,dist,1959,Ductile Iron,,CL,24,M,1623.015538
81,836a4114-f6f5-11ec-985e-54bf6483bcd3,52524,dist,2017,Cast Iron,RG,CL,8,S,173.2100056
82,836ab51d-f6f5-11ec-abed-54bf6483bcd3,52513,dist,1975,Ductile Iron,RG,CL,18,M,692.975803
83,836b2b7c-f6f5-11ec-b8c3-54bf6483bcd3,52513,dist,1973,Ductile Iron,,CL,15,M,143.2485978
84,836ba0bc-f6f5-11ec-9e33-54bf6483bcd3,52513,dist,1987,Ductile Iron,RG,CL,7,S,540.5694199
85,836c3ce6-f6f5-11ec-b721-54bf6483bcd3,74403,dist,1993,Ductile Iron,,CL,1,S,777.0018008
86,836cb223-f6f5-11ec-892e-54bf6483bcd3,74403,dist,1982,Ductile Iron,,CL,10,S,682.141178
87,836d2742-f6f5-11ec-8903-54bf6483bcd3,62649,dist,1986,Ductile Iron,,CL,2,S,187.6304842
88,836dc38a-f6f5-11ec-97c2-54bf6483bcd3,62649,dist,1989,Ductile Iron,,CL,2,S,179.8472438
89,836e38b2-f6f5-11ec-b8e1-54bf6483bcd3,75403,dist,1992,Ductile Iron,,CL,7,S,138.7587902
90,836eadff-f6f5-11ec-ab13-54bf6483bcd3,75516,dist,1985,Cast Iron,,,5,S,546.6933896
91,836f4a23-f6f5-11ec-8359-54bf6483bcd3,52513,dist,1985,Steel,WJ,CL,3,S,1069.518255
92,836fbf62-f6f5-11ec-a7b2-54bf6483bcd3,52527,dist,1948,Ductile Iron,RG,CL,11,S,153.2166619
93,8370348a-f6f5-11ec-8b3b-54bf6483bcd3,74403,dist,1980,Cast Iron,CJ,CL,7,S,808.3729097
94,8370d0c6-f6f5-11ec-b876-54bf6483bcd3,74403,dist,1962,Cast Iron,,,6,S,1208.553618
95,83714611-f6f5-11ec-b7d5-54bf6483bcd3,52505,dist,1960,Ductile Iron,RG,CL,7,S,173.8475571
96,8371e231-f6f5-11ec-b407-54bf6483bcd3,52524,dist,1981,Cast Iron,CJ,CL,7,S,45.75072893
97,83725767-f6f5-11ec-b96d-54bf6483bcd3,75504,dist,1980,Steel,WJ,,9,S,236.8635358
98,8372cc8e-f6f5-11ec-93ce-54bf6483bcd3,62628,dist,1987,Cast Iron,CJ,CL,1,S,345.2441252
99,837368db-f6f5-11ec-bca9-54bf6483bcd3,62649,dist,1978,Ductile Iron,RG,CL,6,S,116.0003535
100,8373ddfd-f6f5-11ec-9597-54bf6483bcd3,52527,dist,1994,Ductile Iron,RG,CL,3,S,275.2938643
101,8374533a-f6f5-11ec-bbce-54bf6483bcd3,74408,dist,1982,Ductile Iron,,CL,8,S,239.8324857
102,8374ef6e-f6f5-11ec-a8a7-54bf6483bcd3,74408,dist,2006,Cast Iron,CJ,,13,M,160.6405274
103,837564a0-f6f5-11ec-a101-54bf6483bcd3,74408,dist,1995,Cast Iron,CJ,,6,S,164.8258222
104,8375ffb4-f6f5-11ec-aba9-54bf6483bcd3,74408,dist,1997,Cast Iron,CJ,CL,9,S,161.5851094
105,837674e2-f6f5-11ec-bc1f-54bf6483bcd3,62649,dist,1978,Steel,,,4,S,1721.248872
106,83771123-f6f5-11ec-ac8c-54bf6483bcd3,74004,dist,1991,Ductile Iron,,CL,2,S,1485.580194
107,83778653-f6f5-11ec-95c1-54bf6483bcd3,62648,dist,1951,Cast Iron,CJ,CL,15,M,459.0752816
108,837823bb-f6f5-11ec-9a8e-54bf6483bcd3,52513,dist,1978,Ductile Iron,,CL,4,S,139.5841555
109,83789910-f6f5-11ec-b426-54bf6483bcd3,52521,dist,1967,Steel,WJ,CL,21,M,177.687351
110,837934f4-f6f5-11ec-99e5-54bf6483bcd3,75607,dist,1983,Ductile Iron,,CL,1,S,208.1766327
111,8379aa72-f6f5-11ec-9812-54bf6483bcd3,52518,dist,1992,Cast Iron,CJ,CL,3,S,2521.512692
112,837a1f90-f6f5-11ec-9e42-54bf6483bcd3,52531,dist,1988,Ductile Iron,,CL,24,M,323.020306
113,837abbde-f6f5-11ec-8932-54bf6483bcd3,52511,dist,1968,Steel,WJ,,14,M,454.6581069
114,837b30df-f6f5-11ec-a9e8-54bf6483bcd3,52511,dist,1969,Steel,,,22,M,255.8585092
115,837ba5fd-f6f5-11ec-8806-54bf6483bcd3,62652,dist,1973,Cast Iron,RG,,8,S,1154.188603
116,837c4236-f6f5-11ec-947a-54bf6483bcd3,62652,dist,1981,Steel,,,22,M,1041.264435
117,837cb76b-f6f5-11ec-b5c9-54bf6483bcd3,62652,dist,1958,Steel,,CL,12,S,211.2119374
118,837d53e0-f6f5-11ec-8dc0-54bf6483bcd3,62651,dist,2004,Cast Iron,CJ,,7,S,518.460577
119,837dc91e-f6f5-11ec-adc8-54bf6483bcd3,52533,dist,1997,Ductile Iron,RG,CL,6,S,53.15434042
120,837e3e49-f6f5-11ec-b29c-54bf6483bcd3,75504,dist,1979,Ductile Iron,RG,CL,1,S,427.5350003
121,837eb37a-f6f5-11ec-91ce-54bf6483bcd3,52511,dist,1984,Cast Iron,CJ,CL,2,S,189.0955542
122,837f289e-f6f5-11ec-b7f6-54bf6483bcd3,75607,dist,1959,Ductile Iron,RG,CL,8,S,130.8119358
123,837fc4dd-f6f5-11ec-b7c0-54bf6483bcd3,62631,dist,1944,Steel,,CL,18,M,570.7607927
124,83803a20-f6f5-11ec-a491-54bf6483bcd3,63806,dist,2010,Cast Iron,,CL,21,M,294.6335524
125,8380af3f-f6f5-11ec-8d02-54bf6483bcd3,62651,dist,1986,Steel,,CL,18,M,654.4537472
126,83812471-f6f5-11ec-b324-54bf6483bcd3,75516,dist,1977,Ductile Iron,,CL,12,S,2756.493233
127,8381bffa-f6f5-11ec-92f5-54bf6483bcd3,52421,dist,1988,Ductile Iron,,CL,1,S,2222.004097
128,838235dd-f6f5-11ec-a382-54bf6483bcd3,75607,dist,1989,Cast Iron,RG,CL,12,S,302.1928357
129,8382d220-f6f5-11ec-bba5-54bf6483bcd3,75403,dist,1982,Steel,,,13,M,160.1513372
130,8383474e-f6f5-11ec-88ad-54bf6483bcd3,75403,dist,1963,Ductile Iron,,CL,21,M,288.0179631
131,8383bc94-f6f5-11ec-8a5e-54bf6483bcd3,75403,dist,1970,Steel,,,16,M,508.2276667
132,83845798-f6f5-11ec-b8c9-54bf6483bcd3,75403,dist,1975,Cast Iron,,CL,2,S,220.3001313
133,8384ccc4-f6f5-11ec-b039-54bf6483bcd3,75514,dist,1976,Ductile Iron,,CL,15,M,274.6629591
134,838541f7-f6f5-11ec-ba90-54bf6483bcd3,75505,dist,1968,Ductile Iron,RG,CL,15,M,1456.835952
135,8385de32-f6f5-11ec-8ccc-54bf6483bcd3,62631,dist,1976,Cast Iron,CJ,,4,S,1466.402143
136,83865364-f6f5-11ec-9ad0-54bf6483bcd3,75513,dist,1966,Steel,,CL,19,M,195.7454413
137,838716b4-f6f5-11ec-9b8c-54bf6483bcd3,63903,dist,2004,Cast Iron,,,8,S,278.1291559
138,83878be4-f6f5-11ec-a694-54bf6483bcd3,63908,dist,1967,Cast Iron,RG,,22,M,217.5232082
139,83880116-f6f5-11ec-b5ea-54bf6483bcd3,52531,dist,1947,Cast Iron,CJ,,6,S,351.4735533
140,83889d52-f6f5-11ec-8889-54bf6483bcd3,52527,dist,1979,Ductile Iron,,CL,2,S,390.1808444
141,838913c0-f6f5-11ec-bd6b-54bf6483bcd3,52526,dist,1963,Steel,WJ,CL,10,S,852.8191801
142,8389b002-f6f5-11ec-b6d6-54bf6483bcd3,63903,dist,1976,Ductile Iron,RG,,6,S,717.8948465
143,838a2527-f6f5-11ec-94cf-54bf6483bcd3,62630,dist,1952,Cast Iron,CJ,CL,4,S,641.1196633
144,838a9a53-f6f5-11ec-bac0-54bf6483bcd3,62630,dist,1942,Ductile Iron,,CL,1,S,171.7173129
145,838b35f8-f6f5-11ec-a41c-54bf6483bcd3,62629,dist,1993,Ductile Iron,RG,CL,2,S,280.9464062
146,838bd2df-f6f5-11ec-8875-54bf6483bcd3,75518,dist,1962,Ductile Iron,,CL,11,S,2539.274362
147,838c47fd-f6f5-11ec-9a45-54bf6483bcd3,63007,dist,1944,Ductile Iron,,CL,11,S,1009.792562
148,838ce45e-f6f5-11ec-abbd-54bf6483bcd3,74005,dist,1989,Steel,WJ,,9,S,968.8436252
149,838d5972-f6f5-11ec-8da7-54bf6483bcd3,74004,dist,1953,Ductile Iron,,CL,12,S,937.813987
150,838df5c6-f6f5-11ec-9124-54bf6483bcd3,74004,dist,1956,Cast Iron,CJ,,3,S,276.6071625
151,838e90ce-f6f5-11ec-aa2d-54bf6483bcd3,75516,dist,1974,Ductile Iron,RG,CL,11,S,1840.467128
152,838f05e8-f6f5-11ec-9797-54bf6483bcd3,62630,dist,1999,Cast Iron,RG,,14,M,870.838364
153,838fa238-f6f5-11ec-9336-54bf6483bcd3,62651,dist,1975,Ductile Iron,,CL,3,S,203.9811285
154,8390666d-f6f5-11ec-98d6-54bf6483bcd3,75002,dist,1951,Ductile Iron,RG,CL,12,S,3932.271047
155,8390dba4-f6f5-11ec-a4c8-54bf6483bcd3,74406,dist,1988,Ductile Iron,RG,CL,11,S,744.0968164
156,839177d7-f6f5-11ec-a0a8-54bf6483bcd3,52511,dist,1953,Ductile Iron,,CL,9,S,1656.777865
157,8391ed12-f6f5-11ec-9f4d-54bf6483bcd3,52511,dist,1956,Ductile Iron,,CL,8,S,348.0351069
158,8392624a-f6f5-11ec-809c-54bf6483bcd3,63902,dist,1980,Ductile Iron,RG,CL,2,S,243.3980608
159,83937d80-f6f5-11ec-a2db-54bf6483bcd3,74806,dist,1994,Ductile Iron,,CL,10,S,2555.509567
160,8393f2b4-f6f5-11ec-88ed-54bf6483bcd3,74902,dist,1952,Ductile Iron,,CL,1,S,2091.768713
161,839467e4-f6f5-11ec-a623-54bf6483bcd3,52527,dist,1968,Cast Iron,,,8,S,251.2457929
162,83950542-f6f5-11ec-93bb-54bf6483bcd3,52524,dist,1940,Cast Iron,,CL,6,S,1200.572203
163,83957a6f-f6f5-11ec-a80f-54bf6483bcd3,62629,dist,2007,Ductile Iron,,CL,4,S,265.1817437
164,8395efad-f6f5-11ec-9ab0-54bf6483bcd3,62610,dist,1994,Cast Iron,CJ,CL,17,M,2200.927919
165,839664d3-f6f5-11ec-815a-54bf6483bcd3,63902,dist,1977,Ductile Iron,,CL,12,S,1048.761289
166,8397010a-f6f5-11ec-961b-54bf6483bcd3,52511,dist,1955,Ductile Iron,RG,CL,10,S,252.570209
167,83977647-f6f5-11ec-ba24-54bf6483bcd3,62652,dist,1972,Ductile Iron,RG,CL,11,S,194.3952613
168,839812b3-f6f5-11ec-8948-54bf6483bcd3,62627,dist,1978,Cast Iron,CJ,,5,S,1216.235659
169,839887b3-f6f5-11ec-ba69-54bf6483bcd3,63806,dist,1997,High Density Polyethylene,FUSED,,14,M,923.5291088
170,8398fce2-f6f5-11ec-b11c-54bf6483bcd3,74502,dist,1980,Steel,,CL,11,S,1693.802716
171,839997ff-f6f5-11ec-9aaa-54bf6483bcd3,74602,dist,1965,Ductile Iron,,CL,7,S,98.8492077
172,839a3564-f6f5-11ec-930f-54bf6483bcd3,52533,dist,1914,Cast Iron,,,8,S,521.1450729
173,839aaa9f-f6f5-11ec-8f1e-54bf6483bcd3,75403,dist,1996,Cast Iron,CJ,,12,S,240.1241491
174,839b1fc5-f6f5-11ec-9a2c-54bf6483bcd3,62630,dist,1969,Cast Iron,,CL,20,M,438.8200416
175,839bbc0b-f6f5-11ec-a0f4-54bf6483bcd3,52523,dist,1975,Ductile Iron,,CL,7,S,423.6925127
176,839c3135-f6f5-11ec-8fd5-54bf6483bcd3,52417,dist,2005,Cast Iron,CJ,,17,M,159.4937553
177,839ca671-f6f5-11ec-942e-54bf6483bcd3,75513,dist,1950,Ductile Iron,RG,CL,6,S,315.978119
178,839d42b2-f6f5-11ec-bb28-54bf6483bcd3,74406,dist,1961,Steel,,CL,19,M,482.3526232
179,839db7de-f6f5-11ec-a344-54bf6483bcd3,74406,dist,1998,Ductile Iron,,CL,3,S,616.753136
180,839e541f-f6f5-11ec-a530-54bf6483bcd3,75606,dist,1978,Ductile Iron,,CL,3,S,885.2955773
181,839ec950-f6f5-11ec-b812-54bf6483bcd3,74107,dist,1954,Cast Iron,,,8,S,195.2427906
182,839f6591-f6f5-11ec-8243-54bf6483bcd3,62627,dist,1976,Ductile Iron,,CL,9,S,1756.29201
183,839fdabd-f6f5-11ec-933f-54bf6483bcd3,52533,dist,1960,Cast Iron,CJ,CL,4,S,1449.332573
184,83a04ff0-f6f5-11ec-8c06-54bf6483bcd3,52530,dist,1954,Steel,,CL,22,M,1018.746422
185,83a0eb04-f6f5-11ec-bd5d-54bf6483bcd3,74110,dist,1937,Ductile Iron,RG,CL,4,S,995.0259507
186,83a18742-f6f5-11ec-b2f3-54bf6483bcd3,74110,dist,1959,Cast Iron,CJ,,10,S,1655.806056
187,83a1fc70-f6f5-11ec-a085-54bf6483bcd3,74109,dist,1980,Cast Iron,,CL,16,M,498.5348928
188,83a271a2-f6f5-11ec-8504-54bf6483bcd3,74110,dist,1979,Cast Iron,,CL,4,S,427.2047349
189,83a30f1a-f6f5-11ec-b53a-54bf6483bcd3,75603,dist,1990,Ductile Iron,,CL,11,S,888.820953
190,83a38446-f6f5-11ec-965d-54bf6483bcd3,63908,dist,2005,Steel,,CL,20,M,61.15870707
191,83a3f977-f6f5-11ec-a3d9-54bf6483bcd3,75607,dist,1971,Ductile Iron,,CL,11,S,382.8378506
192,83a46ea1-f6f5-11ec-b4f5-54bf6483bcd3,75513,dist,1974,Ductile Iron,,CL,1,S,196.7803577
193,83a50adc-f6f5-11ec-a2b6-54bf6483bcd3,52511,dist,1936,Ductile Iron,,CL,19,M,1898.641705
194,83a58019-f6f5-11ec-833b-54bf6483bcd3,52513,dist,1976,Cast Iron,CJ,,5,S,330.6888458
195,83a5f53d-f6f5-11ec-bd05-54bf6483bcd3,63007,dist,1958,Ductile Iron,,CL,10,S,1238.138796
196,83a6917f-f6f5-11ec-b19e-54bf6483bcd3,74902,dist,1999,Ductile Iron,,CL,12,S,5760.035802
197,83a706ae-f6f5-11ec-8c54-54bf6483bcd3,74200,dist,1958,Cast Iron,RG,CL,16,M,3348.862963
198,83a77bde-f6f5-11ec-9a9c-54bf6483bcd3,74004,dist,2019,Ductile Iron,,CL,11,S,868.6458355
199,83a816f2-f6f5-11ec-8a09-54bf6483bcd3,74003,dist,1987,Cast Iron,RG,CL,12,S,2513.001034
200,83a88c1b-f6f5-11ec-982a-54bf6483bcd3,74004,dist,1989,Cast Iron,,CL,11,S,320.7976238
201,83a90153-f6f5-11ec-ba24-54bf6483bcd3,74004,dist,1955,Cast Iron,,CL,1,S,325.8698001
202,83a97682-f6f5-11ec-b56a-54bf6483bcd3,75606,dist,1995,Ductile Iron,,CL,10,S,958.8505166
203,83a9ebae-f6f5-11ec-9c25-54bf6483bcd3,52417,dist,1940,Ductile Iron,RG,CL,10,S,1155.666689
204,83aa892e-f6f5-11ec-b007-54bf6483bcd3,62651,dist,1975,Cast Iron,CJ,,8,S,906.2006505
205,83aafe53-f6f5-11ec-8441-54bf6483bcd3,52529,dist,1988,Ductile Iron,,CL,6,S,428.231589
206,83ab7387-f6f5-11ec-8e03-54bf6483bcd3,52531,dist,1983,Ductile Iron,,CL,24,M,1954.077926
207,83abe8b0-f6f5-11ec-8f47-54bf6483bcd3,52531,dist,1968,Ductile Iron,RG,CL,23,M,275.8250336
208,83ac5dde-f6f5-11ec-9dde-54bf6483bcd3,52531,dist,1969,Ductile Iron,,CL,6,S,338.5184076
209,83acfa22-f6f5-11ec-baf1-54bf6483bcd3,52531,dist,2009,Steel,,,2,S,331.8827612
210,83ad6f50-f6f5-11ec-9efe-54bf6483bcd3,52531,dist,1967,Ductile Iron,RG,CL,1,S,222.7783101
211,83ade47d-f6f5-11ec-868a-54bf6483bcd3,62652,dist,2009,Ductile Iron,,CL,10,S,103.3470217
212,83ae7f94-f6f5-11ec-a8e6-54bf6483bcd3,75603,dist,1977,Cast Iron,CJ,,13,M,507.5091504
213,83af1bd3-f6f5-11ec-9e44-54bf6483bcd3,74004,dist,1979,Ductile Iron,RG,CL,3,S,663.2973435
214,83af923b-f6f5-11ec-a75c-54bf6483bcd3,52527,dist,1969,Ductile Iron,RG,CL,12,S,282.6015674
215,83b02e6e-f6f5-11ec-aa75-54bf6483bcd3,52505,dist,1995,Ductile Iron,RG,CL,7,S,610.5165645
216,83b0a3c3-f6f5-11ec-9bf5-54bf6483bcd3,75506,dist,1963,Ductile Iron,,CL,4,S,518.5211331
217,83b118d2-f6f5-11ec-bef6-54bf6483bcd3,52529,dist,1969,Cast Iron,RG,,2,S,505.8445518
218,83b1b3e8-f6f5-11ec-bd76-54bf6483bcd3,74501,dist,1949,Steel,,CL,22,M,233.8796804
219,83b22917-f6f5-11ec-95c4-54bf6483bcd3,74405,dist,1972,Cast Iron,,CL,10,S,1190.378733
220,83b2c552-f6f5-11ec-98e7-54bf6483bcd3,75403,dist,1967,Ductile Iron,RG,CL,6,S,2436.203916
221,83b33a85-f6f5-11ec-abf8-54bf6483bcd3,75504,dist,2014,Ductile Iron,,CL,7,S,1093.038243
222,83b3afb0-f6f5-11ec-8935-54bf6483bcd3,75403,dist,1988,Ductile Iron,RG,CL,18,M,670.5805029
223,83b44d24-f6f5-11ec-a166-54bf6483bcd3,52506,dist,1996,Ductile Iron,RG,CL,4,S,337.9316613
224,83b4c254-f6f5-11ec-8718-54bf6483bcd3,63101,dist,1984,Cast Iron,,,12,S,393.1505975
225,83b55e8f-f6f5-11ec-893f-54bf6483bcd3,62629,dist,1951,Cast Iron,CJ,CL,22,M,674.0148038
226,83b5d3ba-f6f5-11ec-aecd-54bf6483bcd3,52526,dist,1953,Cast Iron,,,9,S,917.8135936
227,83b648fc-f6f5-11ec-8064-54bf6483bcd3,52511,dist,1968,Cast Iron,,CL,19,M,161.5593193
228,83b6e561-f6f5-11ec-8c8b-54bf6483bcd3,52522,dist,1986,Cast Iron,,,12,S,379.8297164
