record_no,syszone,use_type,inst_date,material,joint,joint_type,cathodic,diameter,length_ft
133,550301,dist,6/1/1949,CI,Caulked,rigid,Y,10,348.6409777
134,553000,dist,10/1/1954,STL,,,Y,15,542.3084532
135,553000,dist,12/1/1997,STL,Arc-welded,robust,,1,776.5954681
136,551900,dist,10/1/1946,CI,Caulked,rigid,,7,290.3400504
137,554521,dist,10/1/1929,CI,Caulked,rigid,,4,853.7568407
138,570404,dist,12/1/1990,DI,EQ joint,robust,,1,450.554857
139,110117,dist,12/1/1986,DI,EQ joint,robust,,3,35.71331515
140,110117,dist,2/1/1969,CI,Caulked,rigid,Y,1,152.2700658
141,110117,dist,5/1/1935,CI,Caulked,rigid,Y,3,57.04938181
142,542402,dist,1/1/1986,CI,Caulked,rigid,,7,460.3921683
143,574602,dist,6/1/2001,DI,EQ joint,robust,,13,435.2466569
144,571202,dist,12/1/1938,CI,Caulked,rigid,Y,11,428.5068796
145,542602,dist,6/1/1933,CI,Caulked,rigid,,5,155.0400129
147,541605,dist,11/1/1984,CONC,,,,16,291.3955636
148,541605,dist,1/1/1959,CI,,,,4,128.9361789
149,542800,dist,1/1/1953,CI,Caulked,rigid,Y,1,302.9605154
150,541003,dist,9/1/1947,CI,Caulked,rigid,,3,653.0036033
151,543100,dist,11/1/1943,CI,Caulked,rigid,,4,171.3508805
152,543100,dist,3/1/1962,CI,Caulked,rigid,,3,342.458159
153,553901,dist,2/1/1991,CI,,,,8,56.58392163
154,574602,dist,10/1/2006,CI,,,,8,73.56216019
157,541300,dist,3/1/1965,AC,B&S,rigid,,20,229.4981762
158,541300,dist,2/1/1984,DI,,,,8,372.4287256
159,571000,dist,3/1/1909,CI,Caulked,rigid,,9,667.5229628
160,543203,dist,1/1/1980,CI,Caulked,rigid,,5,86.14801604
161,110117,dist,3/1/1942,CI,,,Y,10,65.63368516
162,554521,dist,3/1/1922,AC,B&S,rigid,,5,313.0353602
163,570204,dist,2/1/1987,CI,,,,11,204.1133412
165,570204,dist,7/1/1972,DI,EQ joint,robust,,9,404.4836363
166,570502,dist,7/1/1974,CI,Caulked,rigid,,13,1193.941803
167,570100,dist,6/1/1954,CI,Caulked,rigid,Y,5,282.1081982
168,570305,dist,2/1/1919,STL,Arc-welded,robust,Y,3,529.3808265
169,570502,dist,6/1/1976,CI,Caulked,rigid,,12,200.2504252
170,574901,dist,2/1/1953,DI,EQ joint,robust,,12,391.4367281
171,574100,dist,9/1/1961,DI,EQ joint,robust,,4,343.2032808
172,574300,dist,3/1/1947,CI,Caulked,rigid,,5,290.3368342
173,573601,dist,1/1/1966,CI,Caulked,rigid,Y,5,795.6838919
174,570305,dist,4/1/1957,CI,Caulked,rigid,,10,196.0142666
175,570305,dist,11/1/1957,CI,,,Y,2,315.1990042
176,543304,dist,6/1/1972,CI,Caulked,rigid,,9,651.4952818
177,543322,dist,6/1/1917,AC,B&S,rigid,,2,267.4865444
178,543304,dist,12/1/1933,DI,,,,12,469.6514349
179,980018,dist,6/1/1962,CI,Rubber Gasket,flexible,Y,6,601.3707565
180,573002,dist,11/1/2001,AC,,,,10,123.2519317
181,570001,dist,6/1/1973,CI,Caulked,rigid,,4,114.6127691
182,570001,dist,8/1/1958,STL,Gas welded,brittle,Y,3,329.667589
183,574300,dist,10/1/1941,CI,Caulked,rigid,Y,8,203.3515238
184,574300,dist,4/1/1944,CI,Caulked,rigid,Y,6,185.5653624
185,574300,dist,5/1/1984,CI,Caulked,rigid,,3,356.9738922
186,573700,dist,12/1/1968,CI,Caulked,rigid,,5,631.8393087
187,574100,dist,12/1/1914,AC,B&S,rigid,,6,409.8169313
188,570901,dist,3/1/1923,CI,Caulked,rigid,Y,1,598.3626992
189,573700,dist,4/1/1939,DI,EQ joint,robust,,9,218.1228192
190,574901,dist,3/1/1968,CI,Rubber Gasket,flexible,,3,495.2496978
191,536201,dist,10/1/1976,CI,Caulked,rigid,,12,309.9029475
192,552100,dist,5/1/1946,CI,,,Y,8,667.5172879
193,110117,dist,12/1/1945,CI,Caulked,rigid,Y,1,50.97853876
194,554522,dist,5/1/1977,DI,Rubber Gasket,flexible,,3,296.5125119
195,554515,dist,2/1/1920,CI,Caulked,rigid,,12,254.8102568
196,544002,dist,12/1/1931,DI,,,,1,839.1938503
198,573800,dist,6/1/1975,CI,Rubber Gasket,flexible,,3,536.4428396
199,573800,dist,5/1/1935,CI,Rubber Gasket,flexible,Y,7,590.3326571
200,573601,dist,12/1/1931,CI,Caulked,rigid,Y,10,350.9697822
201,573700,dist,9/1/1967,CI,Caulked,rigid,,18,298.8689475
202,573700,dist,9/1/1957,DI,,,,21,174.0516331
204,573601,dist,6/1/1951,CI,Caulked,rigid,,15,305.9427346
205,570701,dist,7/1/1957,AC,B&S,rigid,,1,54.00361765
207,554513,dist,1/1/1922,DI,,,,10,37.85289619
208,110117,dist,1891-2-1,CI,,,,13,99.16146009
209,541605,dist,1/1/1931,DI,EQ joint,robust,,20,127.8571775
210,536102,dist,5/1/1954,STL,,,,6,318.7114057
211,550202,dist,2/1/1966,STL,,,,18,135.1252159
212,551203,dist,9/1/2013,CI,Caulked,rigid,,21,97.08178602
213,551502,dist,10/1/1925,CI,Caulked,rigid,Y,3,123.1714192
214,551201,dist,5/1/1942,CI,,,,5,225.8325504
215,536102,dist,3/1/1936,CI,Caulked,rigid,Y,6,92.15937441
216,550301,dist,11/1/1964,STL,Gas welded,brittle,Y,24,372.1707754
217,536102,dist,7/1/1982,CI,,,,18,83.00883374
218,542601,dist,2/1/1988,CI,,,,12,225.031651
219,555001,dist,7/1/1901,CI,Caulked,rigid,,16,128.0232397
220,554522,dist,4/1/1980,CI,Caulked,rigid,,2,86.07943294
221,553601,dist,11/1/1976,STL,Gas welded,brittle,,23,174.683955
222,572600,dist,10/1/1920,CI,,,Y,8,360.969895
223,572700,dist,2/1/1935,CI,Caulked,rigid,,10,402.6744017
224,572700,dist,9/1/1920,CI,Caulked,rigid,Y,8,141.4216521
225,572600,dist,11/1/1955,CI,Rubber Gasket,flexible,,3,298.6742016
226,543306,dist,12/1/1964,STL,Arc-welded,robust,,2,184.0087852
227,543321,dist,4/1/1950,DI,,,,12,238.4270468
228,540000,dist,3/1/1994,AC,B&S,rigid,,5,430.75475
229,541802,dist,7/1/1976,CI,Caulked,rigid,,3,230.0906161
230,540000,dist,1/1/1956,CI,Caulked,rigid,,20,1095.56049
231,543321,dist,11/1/1919,DI,EQ joint,robust,,2,398.2927085
232,543321,dist,4/1/1935,AC,B&S,rigid,,3,130.7250818
233,553300,dist,9/1/1936,CI,Rubber Gasket,flexible,,6,367.6746696
234,571701,dist,9/1/1900,CI,Caulked,rigid,Y,8,122.8034221
235,575002,dist,9/1/1967,CI,Caulked,rigid,Y,4,807.5807397
237,575102,dist,9/1/1928,STL,Arc-welded,robust,,7,1811.628652
240,575002,dist,1/1/1960,STL,Arc-welded,robust,Y,6,613.4903971
241,575103,dist,10/1/1952,STL,,,,11,201.207967
242,554517,dist,12/1/1962,DI,,,,3,203.4681044
245,554519,dist,12/1/1981,CI,Caulked,rigid,,2,432.939311
246,543304,dist,5/1/1930,STL,Arc-welded,robust,,2,82.227635
247,543304,dist,9/1/2014,CI,Caulked,rigid,,24,85.20605213
248,543304,dist,7/1/1908,CI,Caulked,rigid,,10,108.2535609
249,577700,dist,12/1/1998,AC,B&S,rigid,,11,80.92527452
250,577700,dist,10/1/1948,CI,Caulked,rigid,,7,43.20139384
251,572700,dist,2/1/1963,CI,Caulked,rigid,,19,1158.074218
252,570402,dist,8/1/1960,CI,Caulked,rigid,Y,4,83.85499494
253,571800,dist,9/1/1977,DI,EQ joint,robust,,7,110.8675519
254,553504,dist,11/1/1924,DI,,,,22,402.9051388
255,570305,dist,12/1/1966,DI,,,,5,279.2983476
256,540101,dist,9/1/1980,CI,Caulked,rigid,,12,124.2709734
257,542106,dist,11/1/1920,DI,,,,8,889.814246
258,541300,dist,4/1/1919,DI,,,,8,1228.421941
259,542800,dist,8/1/1964,CI,Caulked,rigid,Y,6,301.3747237
260,554517,dist,8/1/1915,CI,Caulked,rigid,Y,13,372.9912636
261,110117,dist,7/1/1962,CI,Caulked,rigid,,8,215.5145537
262,110117,dist,11/1/1949,CI,Caulked,rigid,,18,115.5428545
263,576402,dist,12/1/1953,STL,Gas welded,brittle,Y,2,3703.739912
264,574500,dist,8/1/1954,CI,Caulked,rigid,,12,252.5051312
265,577000,dist,7/1/2014,STL,Gas welded,brittle,,17,50.47293196
267,110108,dist,12/1/1930,CI,Caulked,rigid,,5,190.0747244
268,553901,dist,7/1/1954,STL,Gas welded,brittle,,9,117.9088898
269,540501,dist,2/1/1941,CI,Caulked,rigid,,11,832.3768786
270,541700,dist,1/1/1941,AC,B&S,rigid,,1,1727.863996
271,551101,dist,8/1/1936,AC,B&S,rigid,,8,1152.106802
272,553201,dist,11/1/1982,CI,,,,6,371.431188
273,570001,dist,11/1/1952,CI,Caulked,rigid,Y,1,816.2936431
274,571101,dist,8/1/1935,CI,Caulked,rigid,,12,808.7240361
275,553201,dist,5/1/1999,CI,Caulked,rigid,,20,491.3082303
276,554521,dist,10/1/1948,DI,EQ joint,robust,,18,197.9326195
277,553201,dist,7/1/1989,CI,Caulked,rigid,,11,104.9806264
278,551900,dist,5/1/1911,CI,Caulked,rigid,Y,11,83.82637303
279,551900,dist,5/1/1972,CI,Caulked,rigid,,11,110.7378243
280,553602,dist,5/1/1935,CI,Caulked,rigid,,2,155.1327829
281,554521,dist,10/1/1933,STL,,,Y,2,148.8143404
282,110117,dist,11/1/1962,DI,Rubber Gasket,flexible,,11,66.50543043
283,110117,dist,1/1/1972,CI,Caulked,rigid,,8,49.64673921
284,110117,dist,12/1/1915,CI,Caulked,rigid,,8,53.54486896
285,110117,dist,8/1/1922,CI,Rubber Gasket,flexible,,19,49.02203305
286,553502,dist,2/1/1961,CI,Caulked,rigid,Y,11,466.9268577
287,555202,dist,10/1/1986,DI,,,,2,158.7048546
288,110117,dist,12/1/1954,CI,Caulked,rigid,Y,3,81.78532529
289,110117,dist,12/1/1930,CI,,,,3,94.1765897
290,110117,dist,5/1/1931,CI,Caulked,rigid,Y,11,56.15740191
291,573401,dist,8/1/1952,CI,,,,8,207.5484517
292,554515,dist,8/1/1960,CI,Caulked,rigid,Y,11,402.4365976
293,541605,dist,10/1/1994,CI,Caulked,rigid,,7,440.681862
294,542601,dist,4/1/1946,CI,Caulked,rigid,Y,12,957.7260682
295,542602,dist,3/1/1985,CI,Caulked,rigid,,1,367.9139653
296,543304,dist,2/1/1941,CI,,,,4,1248.036979
297,543322,dist,5/1/1940,AC,,,,8,1165.445977
298,543305,dist,5/1/1962,CI,Rubber Gasket,flexible,,4,1292.773424
299,570305,dist,3/1/1954,AC,B&S,rigid,,8,190.3187504
300,573402,dist,6/1/1949,CI,Caulked,rigid,Y,21,129.2263205
301,551300,dist,5/1/1975,CI,Caulked,rigid,,4,965.8367433
302,553901,dist,9/1/1944,CI,,,,11,394.1523309
303,553901,dist,12/1/1939,CI,Caulked,rigid,,1,110.1498766
304,110106,dist,2/1/1910,DI,EQ joint,robust,,12,103.5178047
305,570403,dist,4/1/1956,CI,,,Y,7,463.3488164
306,542200,dist,1/1/1994,CI,,,,7,814.1284266
307,541100,trunk,9/1/1954,STL,Arc-welded,robust,,45,917.8763199
308,573601,dist,11/1/1925,CI,Caulked,rigid,,9,649.9558851
309,573700,dist,5/1/2000,CI,Caulked,rigid,,3,205.8170318
310,573601,dist,7/1/1966,DI,EQ joint,robust,,4,371.2041163
311,542105,dist,3/1/1998,DI,EQ joint,robust,,11,761.9327496
312,542401,dist,4/1/1971,CI,,,Y,12,1083.477922
313,110007,dist,9/1/1938,CI,Rubber Gasket,flexible,Y,10,424.4743801
314,542200,dist,12/1/1928,CI,Caulked,rigid,Y,21,404.1718494
315,542106,dist,10/1/1955,STL,Gas welded,brittle,,10,820.8144828
316,542200,dist,2/1/1964,CI,Caulked,rigid,Y,3,411.0841564
317,541801,dist,5/1/1969,DI,,,,10,40.55227245
318,550301,dist,1/1/1984,CI,Caulked,rigid,,9,268.6969335
319,543304,dist,10/1/1939,CI,Caulked,rigid,,6,76.69973101
320,543304,dist,4/1/1910,CI,Caulked,rigid,,7,81.9744008
321,543304,dist,3/1/1961,CI,,,Y,5,187.37557
322,110006,dist,6/1/1966,STL,,,Y,4,512.4158847
323,110007,dist,4/1/1988,CI,Caulked,rigid,,8,283.1888686
324,110007,dist,7/1/1910,CI,Caulked,rigid,,7,654.8596011
325,553602,dist,6/1/1947,DI,,,,3,317.6401757
326,570603,dist,7/1/1979,CI,,,,18,200.4793937
327,570603,dist,11/1/2008,AC,B&S,rigid,,5,152.0088832
328,553702,dist,6/1/1985,HDPE,,,,20,189.8377881
329,571800,dist,5/1/1941,CI,Caulked,rigid,,11,260.5337585
330,542502,dist,6/1/2003,STL,Arc-welded,robust,,10,330.010295
331,554513,dist,6/1/1932,CI,Caulked,rigid,,10,173.9011217
332,571504,dist,7/1/1987,CI,Caulked,rigid,,9,553.9120808
333,110006,dist,11/1/1965,DI,,,,2,524.1829085
334,551502,dist,10/1/1952,CI,Caulked,rigid,Y,5,75.69450523
335,535802,dist,12/1/1973,CI,Caulked,rigid,,12,1643.217561
336,542401,dist,8/1/1982,STL,,,,13,825.1302764
337,542402,dist,10/1/1968,AC,B&S,rigid,,9,816.4056248
338,553802,dist,7/1/1979,CI,Caulked,rigid,,6,396.9910072
339,553802,dist,4/1/1900,CI,Rubber Gasket,flexible,Y,9,851.3329688
340,575002,dist,8/1/1928,CI,Caulked,rigid,Y,10,150.5770588
341,554521,dist,2/1/1957,CI,Caulked,rigid,Y,6,184.4261196
342,571300,dist,7/1/1953,CI,Caulked,rigid,,21,317.4045628
344,571000,dist,2/1/1985,DI,EQ joint,robust,,5,253.833318
345,571101,dist,12/1/2014,CI,Caulked,rigid,,7,307.135681
346,571400,dist,9/1/1925,CI,Caulked,rigid,,3,223.4016362
347,553602,dist,9/1/1930,CI,,,Y,4,125.1880927
348,553602,dist,10/1/1958,STL,Arc-welded,robust,Y,24,225.6906234
349,553602,dist,2/1/1943,AC,B&S,rigid,,11,112.2315287
350,550101,dist,10/1/1958,CI,Caulked,rigid,Y,7,299.0852545
351,570303,dist,6/1/1920,DI,EQ joint,robust,,2,44.7048363
352,555300,dist,9/1/1932,CI,,,,14,171.6505657
353,110117,dist,7/1/1982,STL,Arc-welded,robust,,19,364.9947752
354,536201,dist,12/1/1948,CI,Caulked,rigid,Y,7,252.3123355
355,536102,dist,5/1/1974,DI,,,,4,373.8405111
356,571102,dist,2/1/1975,CI,Caulked,rigid,,9,353.2119924
357,554001,dist,1/1/1951,CI,Caulked,rigid,,7,805.0661066
358,574100,dist,12/1/1938,CI,Rubber Gasket,flexible,Y,18,46.67530003
359,110117,dist,12/1/1969,AC,B&S,rigid,,18,229.8919555
360,570203,dist,4/1/1919,CI,Caulked,rigid,,18,767.195758
361,573004,dist,2/1/1964,CI,Caulked,rigid,Y,5,978.4871183
362,578000,dist,10/1/1963,CI,Caulked,rigid,Y,12,360.5859009
363,578000,dist,8/1/1917,CI,Caulked,rigid,,12,95.12843233
364,553000,dist,8/1/1950,CI,Caulked,rigid,Y,8,133.9115821
365,553100,dist,1897-8-1,CI,,,Y,9,392.804779
366,552601,dist,5/1/1971,CI,Caulked,rigid,Y,10,887.4461859
367,552900,dist,11/1/1966,AC,B&S,rigid,,3,396.9324587
368,553000,dist,4/1/1948,CI,Caulked,rigid,,6,504.8208842
369,552602,dist,5/1/1992,CI,Rubber Gasket,flexible,,8,243.5512406
370,551102,dist,12/1/1974,CI,,,,4,125.7858642
371,110117,dist,6/1/1946,CI,Caulked,rigid,Y,6,396.2304591
372,572202,dist,7/1/1960,CI,,,,24,1812.242816
373,550301,dist,8/1/1939,CI,Caulked,rigid,,9,426.3058797
374,553000,dist,1/1/1939,DI,Rubber Gasket,flexible,,12,775.7642002
375,553000,dist,6/1/1936,CI,Rubber Gasket,flexible,,3,476.4157611
376,110006,dist,8/1/1905,CI,Caulked,rigid,Y,4,959.5310664
377,572500,dist,9/1/1932,STL,,,,3,77.52461297
378,574500,dist,5/1/1959,STL,Arc-welded,robust,,16,348.1777642
379,572201,dist,11/1/1973,CI,Caulked,rigid,,7,635.4079431
380,572201,dist,7/1/1956,STL,,,Y,17,119.7994819
381,573002,dist,4/1/1973,DI,EQ joint,robust,,23,1602.22056
382,571703,dist,11/1/1950,CI,Rubber Gasket,flexible,,13,906.1321581
383,571800,dist,2/1/1937,STL,Arc-welded,robust,,6,1606.136091
384,110015,dist,12/1/1981,CI,Caulked,rigid,,8,143.7227689
385,575401,dist,5/1/1936,CI,Caulked,rigid,Y,3,404.3053413
386,542601,dist,11/1/1930,CI,Rubber Gasket,flexible,,6,191.4782386
387,571502,dist,1/1/1970,CI,Rubber Gasket,flexible,,12,921.5078925
388,575001,dist,12/1/1969,CI,Rubber Gasket,flexible,,4,184.9926637
389,551102,dist,11/1/1972,CI,,,,6,308.2859146
390,554516,dist,4/1/1941,CI,,,,10,33.82121665
392,551300,dist,10/1/1917,DI,EQ joint,robust,,6,853.6447173
393,543305,dist,7/1/1913,CI,Caulked,rigid,Y,5,750.6852285
394,543321,dist,5/1/1966,DI,EQ joint,robust,,11,2846.129382
395,543400,dist,12/1/1945,AC,B&S,rigid,,3,429.2763759
396,543321,dist,3/1/1982,CI,,,,4,454.1031085
397,554515,dist,2/1/1968,DI,,,,8,255.0093443
398,110106,dist,5/1/1964,STL,,,,20,854.677801
399,110108,dist,5/1/2007,STL,Gas welded,brittle,,19,111.5288378
400,544002,dist,5/1/1972,AC,B&S,rigid,,9,192.8632621
402,110108,dist,3/1/1924,AC,B&S,rigid,,3,106.1005513
403,551900,dist,4/1/1966,DI,Rubber Gasket,flexible,,17,98.20291299
404,573101,dist,1/1/1970,CI,Caulked,rigid,,5,107.7621458
405,110108,dist,4/1/1913,CI,Caulked,rigid,Y,9,724.6879215
406,110108,dist,9/1/2016,CI,Caulked,rigid,,8,143.8863759
407,570404,dist,12/1/1978,DI,EQ joint,robust,,4,101.3523593
408,110006,dist,10/1/1944,CI,Caulked,rigid,,6,290.5829968
409,577900,dist,4/1/1958,CI,,,Y,12,743.2448501
410,110108,dist,11/1/1978,DI,,,,6,285.3640089
411,577700,dist,1/1/1939,CI,,,Y,5,267.3310965
412,572600,dist,6/1/1913,AC,B&S,rigid,,7,3113.074391
413,555212,dist,5/1/1932,CI,,,Y,7,584.3182393
414,110108,dist,7/1/1963,STL,Gas welded,brittle,,10,178.9525693
417,571505,dist,6/1/1932,CI,Caulked,rigid,,12,382.8726719
418,571505,dist,11/1/1932,DI,,,,2,140.918154
419,551101,dist,12/1/1978,DI,,,,5,367.412551
420,571504,dist,1/1/1931,CI,,,Y,5,612.5994191
421,576403,dist,9/1/1960,CI,,,,11,201.2378018
422,573402,dist,5/1/1962,CI,Caulked,rigid,Y,9,199.6599812
423,570305,dist,12/1/1951,AC,,,,9,100.474556
424,570305,dist,6/1/1932,CI,Caulked,rigid,Y,10,161.4799667
425,570305,dist,9/1/1945,CI,Caulked,rigid,Y,7,209.6364358
426,541801,dist,2/1/1934,STL,,,,8,42.41877212
427,543322,dist,10/1/1938,CI,Caulked,rigid,Y,9,111.5972987
428,541802,dist,4/1/1984,CI,,,,4,445.4191721
