record_no,syszone,use_type,inst_date,material,joint,joint_type,cathodic,diameter,length_ft
88,573800,dist,1942-1-1,CI,Caulked,rigid,Y,2.000000000000000,147.004726886165000
89,573700,dist,1947-1-1,STL,Arc-welded,robust,Y,18.000000000000000,379.428320899085000
90,573601,dist,1936-11-1,CI,Caulked,rigid,Y,2.000000000000000,305.642274903584000
91,573601,dist,1967-3-1,CI,Caulked,rigid,Y,11.000000000000000,98.935725400074300
92,570203,dist,1988-2-1,AC,B&S,rigid,,18.000000000000000,101.158253988311000
93,554514,dist,1954-8-1,AC,,,,10.000000000000000,381.320528616047000
95,554801,dist,1960-1-1,CI,Caulked,rigid,Y,6.000000000000000,258.706085010061000
96,543304,dist,1934-8-1,CI,Caulked,rigid,,17.000000000000000,790.198139492869000
97,543322,dist,1954-1-1,CI,Caulked,rigid,,6.000000000000000,361.358633573767000
98,543322,dist,1961-9-1,DI,EQ joint,robust,,10.000000000000000,221.522092156689000
99,543304,dist,1926-5-1,CI,,,,2.000000000000000,838.342409992676000
100,554802,dist,1959-6-1,STL,Gas welded,brittle,Y,19.000000000000000,204.264100356422000
101,551700,dist,1920-3-1,AC,B&S,rigid,,12.000000000000000,559.117479136990000
102,110117,dist,1994-6-1,AC,B&S,rigid,,12.000000000000000,76.024731572901700
103,110117,dist,1962-4-1,CI,,,,12.000000000000000,65.619699573814900
104,551203,dist,1932-10-1,CI,Caulked,rigid,Y,1.000000000000000,171.795831546748000
105,551201,dist,1934-7-1,CI,Rubber Gasket,flexible,,4.000000000000000,83.601012956387600
106,551203,dist,1961-6-1,CI,Caulked,rigid,,1.000000000000000,211.714706860902000
107,554513,dist,1933-6-1,STL,Arc-welded,robust,Y,6.000000000000000,74.102672702813900
108,574500,dist,1903-2-1,CI,Caulked,rigid,Y,2.000000000000000,119.763035932767000
109,554515,dist,1944-12-1,CI,,,Y,9.000000000000000,266.541311430288000
111,571201,dist,1949-9-1,STL,,,,5.000000000000000,276.567044221681000
112,543306,dist,1932-11-1,CI,,,,12.000000000000000,132.561211266131000
114,554406,dist,1955-6-1,AC,,,,11.000000000000000,177.305143167665000
115,554521,dist,1956-2-1,AC,B&S,rigid,,2.000000000000000,225.762067190044000
116,551801,dist,1977-1-1,DI,EQ joint,robust,,22.000000000000000,146.411370434331000
117,551801,dist,1952-7-1,CI,Caulked,rigid,,9.000000000000000,116.189573576976000
118,540203,dist,1938-11-1,DI,EQ joint,robust,,4.000000000000000,428.536468562236000
120,542700,trunk,1970-4-1,DI,,,,37.000000000000000,1046.545788862880000
121,554515,dist,1967-6-1,CI,,,,3.000000000000000,78.508250808853500
122,554406,dist,1961-9-1,CI,Caulked,rigid,Y,21.000000000000000,118.339040628620000
123,575102,dist,1942-9-1,CI,Caulked,rigid,Y,21.000000000000000,96.864631390360500
124,573402,dist,1942-8-1,CI,Caulked,rigid,Y,9.000000000000000,402.502178055191000
125,570502,dist,1978-2-1,CI,Caulked,rigid,,11.000000000000000,317.752078522872000
126,575102,dist,1993-7-1,CI,Caulked,rigid,,4.000000000000000,203.200681454370000
127,573402,dist,1988-5-1,CI,,,,12.000000000000000,395.569336092273000
128,552800,dist,1957-9-1,DI,EQ joint,robust,,9.000000000000000,456.610100853082000
129,552800,dist,2019-11-1,CI,,,,8.000000000000000,176.791138508449000
130,554106,dist,1948-2-1,CI,,,,8.000000000000000,537.263422490752000
131,553000,dist,1948-10-1,DI,,,,14.000000000000000,146.570143231549000
132,553000,dist,1977-10-1,CI,Caulked,rigid,,6.000000000000000,403.798620945285000
133,550301,dist,1949-6-1,CI,Caulked,rigid,Y,10.000000000000000,348.640977715536000
134,553000,dist,1954-10-1,STL,,,Y,15.000000000000000,542.308453169709000
135,553000,dist,1997-12-1,STL,Arc-welded,robust,,1.000000000000000,776.595468093054000
136,551900,dist,1946-10-1,CI,Caulked,rigid,,7.000000000000000,290.340050364491000
137,554521,dist,1929-10-1,CI,Caulked,rigid,,4.000000000000000,853.756840705860000
138,570404,dist,1990-12-1,DI,EQ joint,robust,,1.000000000000000,450.554856964174000
139,110117,dist,1986-12-1,DI,EQ joint,robust,,3.000000000000000,35.713315145512500
140,110117,dist,1969-2-1,CI,Caulked,rigid,Y,1.000000000000000,152.270065756696000
141,110117,dist,1935-5-1,CI,Caulked,rigid,Y,3.000000000000000,57.049381806700900
142,542402,dist,1986-1-1,CI,Caulked,rigid,,7.000000000000000,460.392168326867000
143,574602,dist,2001-6-1,DI,EQ joint,robust,,13.000000000000000,435.246656910345000
144,571202,dist,1938-12-1,CI,Caulked,rigid,Y,11.000000000000000,428.506879647350000
145,542602,dist,1933-6-1,CI,Caulked,rigid,,5.000000000000000,155.040012945321000
147,541605,dist,1984-11-1,CONC,,,,16.000000000000000,291.395563624387000
148,541605,dist,1959-1-1,CI,,,,4.000000000000000,128.936178903259000
149,542800,dist,1953-1-1,CI,Caulked,rigid,Y,1.000000000000000,302.960515403725000
150,541003,dist,1947-9-1,CI,Caulked,rigid,,3.000000000000000,653.003603342476000
151,543100,dist,1943-11-1,CI,Caulked,rigid,,4.000000000000000,171.350880503857000
152,543100,dist,1962-3-1,CI,Caulked,rigid,,3.000000000000000,342.458158974384000
153,553901,dist,1991-2-1,CI,,,,8.000000000000000,56.583921633919000
154,574602,dist,2006-10-1,CI,,,,8.000000000000000,73.562160191168200
157,541300,dist,1965-3-1,AC,B&S,rigid,,20.000000000000000,229.498176239699000
158,541300,dist,1984-2-1,DI,,,,8.000000000000000,372.428725611724000
159,571000,dist,1909-3-1,CI,Caulked,rigid,,9.000000000000000,667.522962804057000
160,543203,dist,1980-1-1,CI,Caulked,rigid,,5.000000000000000,86.148016043808200
161,110117,dist,1942-3-1,CI,,,Y,10.000000000000000,65.633685162462800
162,554521,dist,1922-3-1,AC,B&S,rigid,,5.000000000000000,313.035360213443000
163,570204,dist,1987-2-1,CI,,,,11.000000000000000,204.113341187877000
165,570204,dist,1972-7-1,DI,EQ joint,robust,,9.000000000000000,404.483636263874000
166,570502,dist,1974-7-1,CI,Caulked,rigid,,13.000000000000000,1193.941803012940000
167,570100,dist,1954-6-1,CI,Caulked,rigid,Y,5.000000000000000,282.108198175052000
168,570305,dist,1919-2-1,STL,Arc-welded,robust,Y,3.000000000000000,529.380826486356000
169,570502,dist,1976-6-1,CI,Caulked,rigid,,12.000000000000000,200.250425195795000
170,574901,dist,1953-2-1,DI,EQ joint,robust,,12.000000000000000,391.436728112148000
171,574100,dist,1961-9-1,DI,EQ joint,robust,,4.000000000000000,343.203280764747000
172,574300,dist,1947-3-1,CI,Caulked,rigid,,5.000000000000000,290.336834152130000
173,573601,dist,1966-1-1,CI,Caulked,rigid,Y,5.000000000000000,795.683891909673000
174,570305,dist,1957-4-1,CI,Caulked,rigid,,10.000000000000000,196.014266609989000
175,570305,dist,1957-11-1,CI,,,Y,2.000000000000000,315.199004167631000
176,543304,dist,1972-6-1,CI,Caulked,rigid,,9.000000000000000,651.495281808161000
177,543322,dist,1917-6-1,AC,B&S,rigid,,2.000000000000000,267.486544444297000
178,543304,dist,1933-12-1,DI,,,,12.000000000000000,469.651434935361000
179,980018,dist,1962-6-1,CI,Rubber Gasket,flexible,Y,6.000000000000000,601.370756461085000
180,573002,dist,2001-11-1,AC,,,,10.000000000000000,123.251931745529000
181,570001,dist,1973-6-1,CI,Caulked,rigid,,4.000000000000000,114.612769056036000
182,570001,dist,1958-8-1,STL,Gas welded,brittle,Y,3.000000000000000,329.667589035932000
183,574300,dist,1941-10-1,CI,Caulked,rigid,Y,8.000000000000000,203.351523825633000
184,574300,dist,1944-4-1,CI,Caulked,rigid,Y,6.000000000000000,185.565362426136000
185,574300,dist,1984-5-1,CI,Caulked,rigid,,3.000000000000000,356.973892212593000
186,573700,dist,1968-12-1,CI,Caulked,rigid,,5.000000000000000,631.839308664576000
187,574100,dist,1914-12-1,AC,B&S,rigid,,6.000000000000000,409.816931294521000
188,570901,dist,1923-3-1,CI,Caulked,rigid,Y,1.000000000000000,598.362699177631000
189,573700,dist,1939-4-1,DI,EQ joint,robust,,9.000000000000000,218.122819238516000
190,574901,dist,1968-3-1,CI,Rubber Gasket,flexible,,3.000000000000000,495.249697820987000
191,536201,dist,1976-10-1,CI,Caulked,rigid,,12.000000000000000,309.902947453155000
192,552100,dist,1946-5-1,CI,,,Y,8.000000000000000,667.517287853402000
193,110117,dist,1945-12-1,CI,Caulked,rigid,Y,1.000000000000000,50.978538757062600
194,554522,dist,1977-5-1,DI,Rubber Gasket,flexible,,3.000000000000000,296.512511858158000
195,554515,dist,1920-2-1,CI,Caulked,rigid,,12.000000000000000,254.810256841035000
196,544002,dist,1931-12-1,DI,,,,1.000000000000000,839.193850256561000
198,573800,dist,1975-6-1,CI,Rubber Gasket,flexible,,3.000000000000000,536.442839600074000
199,573800,dist,1935-5-1,CI,Rubber Gasket,flexible,Y,7.000000000000000,590.332657052365000
200,573601,dist,1931-12-1,CI,Caulked,rigid,Y,10.000000000000000,350.969782208183000
201,573700,dist,1967-9-1,CI,Caulked,rigid,,18.000000000000000,298.868947518058000
202,573700,dist,1957-9-1,DI,,,,21.000000000000000,174.051633083685000
204,573601,dist,1951-6-1,CI,Caulked,rigid,,15.000000000000000,305.942734593677000
205,570701,dist,1957-7-1,AC,B&S,rigid,,1.000000000000000,54.003617648493800
207,554513,dist,1922-1-1,DI,,,,10.000000000000000,37.852896191085000
208,110117,dist,1891-2-1,CI,,,,13.000000000000000,99.161460088128300
209,541605,dist,1931-1-1,DI,EQ joint,robust,,20.000000000000000,127.857177516294000
210,536102,dist,1954-5-1,STL,,,,6.000000000000000,318.711405700684000
211,550202,dist,1966-2-1,STL,,,,18.000000000000000,135.125215896392000
212,551203,dist,2013-9-1,CI,Caulked,rigid,,21.000000000000000,97.081786020020900
213,551502,dist,1925-10-1,CI,Caulked,rigid,Y,3.000000000000000,123.171419204700000
214,551201,dist,1942-5-1,CI,,,,5.000000000000000,225.832550395147000
215,536102,dist,1936-3-1,CI,Caulked,rigid,Y,6.000000000000000,92.159374405676900
216,550301,dist,1964-11-1,STL,Gas welded,brittle,Y,24.000000000000000,372.170775421181000
217,536102,dist,1982-7-1,CI,,,,18.000000000000000,83.008833743185600
218,542601,dist,1988-2-1,CI,,,,12.000000000000000,225.031650992104000
219,555001,dist,1901-7-1,CI,Caulked,rigid,,16.000000000000000,128.023239703737000
220,554522,dist,1980-4-1,CI,Caulked,rigid,,2.000000000000000,86.079432936849800
221,553601,dist,1976-11-1,STL,Gas welded,brittle,,23.000000000000000,174.683955042584000
222,572600,dist,1920-10-1,CI,,,Y,8.000000000000000,360.969894993376000
223,572700,dist,1935-2-1,CI,Caulked,rigid,,10.000000000000000,402.674401679778000
224,572700,dist,1920-9-1,CI,Caulked,rigid,Y,8.000000000000000,141.421652131965000
225,572600,dist,1955-11-1,CI,Rubber Gasket,flexible,,3.000000000000000,298.674201578284000
226,543306,dist,1964-12-1,STL,Arc-welded,robust,,2.000000000000000,184.008785246232000
227,543321,dist,1950-4-1,DI,,,,12.000000000000000,238.427046791020000
228,540000,dist,1994-3-1,AC,B&S,rigid,,5.000000000000000,430.754749980249000
229,541802,dist,1976-7-1,CI,Caulked,rigid,,3.000000000000000,230.090616078114000
230,540000,dist,1956-1-1,CI,Caulked,rigid,,20.000000000000000,1095.560490183550000
231,543321,dist,1919-11-1,DI,EQ joint,robust,,2.000000000000000,398.292708524770000
232,543321,dist,1935-4-1,AC,B&S,rigid,,3.000000000000000,130.725081779670000
233,553300,dist,1936-9-1,CI,Rubber Gasket,flexible,,6.000000000000000,367.674669605692000
234,571701,dist,1900-9-1,CI,Caulked,rigid,Y,8.000000000000000,122.803422054833000
235,575002,dist,1967-9-1,CI,Caulked,rigid,Y,4.000000000000000,807.580739670422000
237,575102,dist,1928-9-1,STL,Arc-welded,robust,,7.000000000000000,1811.628651880090000
240,575002,dist,1960-1-1,STL,Arc-welded,robust,Y,6.000000000000000,613.490397054168000
241,575103,dist,1952-10-1,STL,,,,11.000000000000000,201.207966965445000
242,554517,dist,1962-12-1,DI,,,,3.000000000000000,203.468104442319000
245,554519,dist,1981-12-1,CI,Caulked,rigid,,2.000000000000000,432.939310950536000
246,543304,dist,1930-5-1,STL,Arc-welded,robust,,2.000000000000000,82.227635001191100
247,543304,dist,2014-9-1,CI,Caulked,rigid,,24.000000000000000,85.206052132505100
248,543304,dist,1908-7-1,CI,Caulked,rigid,,10.000000000000000,108.253560859009000
249,577700,dist,1998-12-1,AC,B&S,rigid,,11.000000000000000,80.925274515602700
250,577700,dist,1948-10-1,CI,Caulked,rigid,,7.000000000000000,43.201393838553100
251,572700,dist,1963-2-1,CI,Caulked,rigid,,19.000000000000000,1158.074217804260000
252,570402,dist,1960-8-1,CI,Caulked,rigid,Y,4.000000000000000,83.854994937328700
253,571800,dist,1977-9-1,DI,EQ joint,robust,,7.000000000000000,110.867551924833000
254,553504,dist,1924-11-1,DI,,,,22.000000000000000,402.905138776608000
255,570305,dist,1966-12-1,DI,,,,5.000000000000000,279.298347620282000
256,540101,dist,1980-9-1,CI,Caulked,rigid,,12.000000000000000,124.270973357874000
257,542106,dist,1920-11-1,DI,,,,8.000000000000000,889.814246036641000
258,541300,dist,1919-4-1,DI,,,,8.000000000000000,1228.421940665070000
259,542800,dist,1964-8-1,CI,Caulked,rigid,Y,6.000000000000000,301.374723689018000
260,554517,dist,1915-8-1,CI,Caulked,rigid,Y,13.000000000000000,372.991263598618000
261,110117,dist,1962-7-1,CI,Caulked,rigid,,8.000000000000000,215.514553709371000
262,110117,dist,1949-11-1,CI,Caulked,rigid,,18.000000000000000,115.542854475796000
263,576402,dist,1953-12-1,STL,Gas welded,brittle,Y,2.000000000000000,3703.739911659690000
264,574500,dist,1954-8-1,CI,Caulked,rigid,,12.000000000000000,252.505131197049000
265,577000,dist,2014-7-1,STL,Gas welded,brittle,,17.000000000000000,50.472931957761800
267,110108,dist,1930-12-1,CI,Caulked,rigid,,5.000000000000000,190.074724362913000
268,553901,dist,1954-7-1,STL,Gas welded,brittle,,9.000000000000000,117.908889796184000
269,540501,dist,1941-2-1,CI,Caulked,rigid,,11.000000000000000,832.376878640947000
270,541700,dist,1941-1-1,AC,B&S,rigid,,1.000000000000000,1727.863996282470000
271,551101,dist,1936-8-1,AC,B&S,rigid,,8.000000000000000,1152.106801636810000
272,553201,dist,1982-11-1,CI,,,,6.000000000000000,371.431188039482000
273,570001,dist,1952-11-1,CI,Caulked,rigid,Y,1.000000000000000,816.293643073745000
274,571101,dist,1935-8-1,CI,Caulked,rigid,,12.000000000000000,808.724036103807000
275,553201,dist,1999-5-1,CI,Caulked,rigid,,20.000000000000000,491.308230349440000
276,554521,dist,1948-10-1,DI,EQ joint,robust,,18.000000000000000,197.932619545892000
277,553201,dist,1989-7-1,CI,Caulked,rigid,,11.000000000000000,104.980626388477000
278,551900,dist,1911-5-1,CI,Caulked,rigid,Y,11.000000000000000,83.826373025568300
279,551900,dist,1972-5-1,CI,Caulked,rigid,,11.000000000000000,110.737824290974000
280,553602,dist,1935-5-1,CI,Caulked,rigid,,2.000000000000000,155.132782872326000
281,554521,dist,1933-10-1,STL,,,Y,2.000000000000000,148.814340358184000
282,110117,dist,1962-11-1,DI,Rubber Gasket,flexible,,11.000000000000000,66.505430430188700
283,110117,dist,1972-1-1,CI,Caulked,rigid,,8.000000000000000,49.646739205198200
284,110117,dist,1915-12-1,CI,Caulked,rigid,,8.000000000000000,53.544868955367900
285,110117,dist,1922-8-1,CI,Rubber Gasket,flexible,,19.000000000000000,49.022033048404800
286,553502,dist,1961-2-1,CI,Caulked,rigid,Y,11.000000000000000,466.926857727945000
287,555202,dist,1986-10-1,DI,,,,2.000000000000000,158.704854593218000
288,110117,dist,1954-12-1,CI,Caulked,rigid,Y,3.000000000000000,81.785325291365900
289,110117,dist,1930-12-1,CI,,,,3.000000000000000,94.176589695516300
290,110117,dist,1931-5-1,CI,Caulked,rigid,Y,11.000000000000000,56.157401907829500
291,573401,dist,1952-8-1,CI,,,,8.000000000000000,207.548451721490000
292,554515,dist,1960-8-1,CI,Caulked,rigid,Y,11.000000000000000,402.436597619232000
293,541605,dist,1994-10-1,CI,Caulked,rigid,,7.000000000000000,440.681862005301000
294,542601,dist,1946-4-1,CI,Caulked,rigid,Y,12.000000000000000,957.726068180105000
295,542602,dist,1985-3-1,CI,Caulked,rigid,,1.000000000000000,367.913965304489000
296,543304,dist,1941-2-1,CI,,,,4.000000000000000,1248.036978924010000
297,543322,dist,1940-5-1,AC,,,,8.000000000000000,1165.445977481850000
298,543305,dist,1962-5-1,CI,Rubber Gasket,flexible,,4.000000000000000,1292.773423917600000
299,570305,dist,1954-3-1,AC,B&S,rigid,,8.000000000000000,190.318750439731000
300,573402,dist,1949-6-1,CI,Caulked,rigid,Y,21.000000000000000,129.226320545490000
301,551300,dist,1975-5-1,CI,Caulked,rigid,,4.000000000000000,965.836743345211000
302,553901,dist,1944-9-1,CI,,,,11.000000000000000,394.152330941846000
303,553901,dist,1939-12-1,CI,Caulked,rigid,,1.000000000000000,110.149876579801000
304,110106,dist,1910-2-1,DI,EQ joint,robust,,12.000000000000000,103.517804703397000
305,570403,dist,1956-4-1,CI,,,Y,7.000000000000000,463.348816382785000
306,542200,dist,1994-1-1,CI,,,,7.000000000000000,814.128426640676000
307,541100,trunk,1954-9-1,STL,Arc-welded,robust,,45.000000000000000,917.876319940927000
308,573601,dist,1925-11-1,CI,Caulked,rigid,,9.000000000000000,649.955885062323000
309,573700,dist,2000-5-1,CI,Caulked,rigid,,3.000000000000000,205.817031815475000
310,573601,dist,1966-7-1,DI,EQ joint,robust,,4.000000000000000,371.204116340440000
311,542105,dist,1998-3-1,DI,EQ joint,robust,,11.000000000000000,761.932749645006000
312,542401,dist,1971-4-1,CI,,,Y,12.000000000000000,1083.477922155000000
313,110007,dist,1938-9-1,CI,Rubber Gasket,flexible,Y,10.000000000000000,424.474380109113000
314,542200,dist,1928-12-1,CI,Caulked,rigid,Y,21.000000000000000,404.171849430265000
315,542106,dist,1955-10-1,STL,Gas welded,brittle,,10.000000000000000,820.814482782918000
316,542200,dist,1964-2-1,CI,Caulked,rigid,Y,3.000000000000000,411.084156359688000
317,541801,dist,1969-5-1,DI,,,,10.000000000000000,40.552272448350600
318,550301,dist,1984-1-1,CI,Caulked,rigid,,9.000000000000000,268.696933497872000
319,543304,dist,1939-10-1,CI,Caulked,rigid,,6.000000000000000,76.699731005004000
320,543304,dist,1910-4-1,CI,Caulked,rigid,,7.000000000000000,81.974400804867200
321,543304,dist,1961-3-1,CI,,,Y,5.000000000000000,187.375569958914000
322,110006,dist,1966-6-1,STL,,,Y,4.000000000000000,512.415884701277000
323,110007,dist,1988-4-1,CI,Caulked,rigid,,8.000000000000000,283.188868634334000
324,110007,dist,1910-7-1,CI,Caulked,rigid,,7.000000000000000,654.859601067687000
325,553602,dist,1947-6-1,DI,,,,3.000000000000000,317.640175701634000
326,570603,dist,1979-7-1,CI,,,,18.000000000000000,200.479393681615000
327,570603,dist,2008-11-1,AC,B&S,rigid,,5.000000000000000,152.008883167341000
328,553702,dist,1985-6-1,HDPE,,,,20.000000000000000,189.837788121241000
329,571800,dist,1941-5-1,CI,Caulked,rigid,,11.000000000000000,260.533758516433000
330,542502,dist,2003-6-1,STL,Arc-welded,robust,,10.000000000000000,330.010295047050000
331,554513,dist,1932-6-1,CI,Caulked,rigid,,10.000000000000000,173.901121746468000
332,571504,dist,1987-7-1,CI,Caulked,rigid,,9.000000000000000,553.912080814294000
333,110006,dist,1965-11-1,DI,,,,2.000000000000000,524.182908463893000
334,551502,dist,1952-10-1,CI,Caulked,rigid,Y,5.000000000000000,75.694505234755400
335,535802,dist,1973-12-1,CI,Caulked,rigid,,12.000000000000000,1643.217561268600000
336,542401,dist,1982-8-1,STL,,,,13.000000000000000,825.130276438497000
337,542402,dist,1968-10-1,AC,B&S,rigid,,9.000000000000000,816.405624760143000
338,553802,dist,1979-7-1,CI,Caulked,rigid,,6.000000000000000,396.991007163954000
339,553802,dist,1900-4-1,CI,Rubber Gasket,flexible,Y,9.000000000000000,851.332968771482000
340,575002,dist,1928-8-1,CI,Caulked,rigid,Y,10.000000000000000,150.577058774195000
341,554521,dist,1957-2-1,CI,Caulked,rigid,Y,6.000000000000000,184.426119577767000
342,571300,dist,1953-7-1,CI,Caulked,rigid,,21.000000000000000,317.404562821378000
344,571000,dist,1985-2-1,DI,EQ joint,robust,,5.000000000000000,253.833318028474000
345,571101,dist,2014-12-1,CI,Caulked,rigid,,7.000000000000000,307.135681004286000
346,571400,dist,1925-9-1,CI,Caulked,rigid,,3.000000000000000,223.401636220210000
347,553602,dist,1930-9-1,CI,,,Y,4.000000000000000,125.188092701065000
348,553602,dist,1958-10-1,STL,Arc-welded,robust,Y,24.000000000000000,225.690623384386000
